NAMESPACE                   NAME                                                                  READY   STATUS                        RESTARTS          AGE
media                       pod/booklore-mariadb-5cc7c754f9-v4k6f                                 0/1     ContainerStatusUnknown        1                 14d
media                       pod/booklore-mariadb-5cc7c754f9-v54zp                                 0/1     Completed                     0                 8d
media                       pod/booklore-mariadb-5cc7c754f9-vnlzj                                 0/1     Error                         0                 12d
media                       pod/booklore-mariadb-5cc7c754f9-wf59t                                 0/1     ContainerStatusUnknown        1                 9d
media                       pod/booklore-mariadb-5cc7c754f9-wf5wm                                 1/1     Running                       2 (46h ago)       8d
media                       pod/booklore-mariadb-5cc7c754f9-xjfd6                                 0/1     ContainerStatusUnknown        0                 8d
media                       pod/booklore-mariadb-5cc7c754f9-z2phm                                 0/1     Error                         0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-zhf8g                                 0/1     ContainerStatusUnknown        1                 9d
media                       pod/booklore-mariadb-5cc7c754f9-zpm82                                 0/1     ContainerStatusUnknown        1                 8d
media                       pod/booklore-mariadb-5cc7c754f9-zzbh2                                 0/1     ContainerStatusUnknown        1                 9d
media                       pod/lazylibrarian-9cfc48fdb-2tcg5                                     0/1     ContainerStatusUnknown        0                 8d
media                       pod/lazylibrarian-9cfc48fdb-b55c5                                     0/1     ContainerStatusUnknown        0                 9d
media                       pod/lazylibrarian-9cfc48fdb-dxsh7                                     0/1     ContainerStatusUnknown        0                 9d
media                       pod/lazylibrarian-9cfc48fdb-hffq2                                     0/1     Error                         0                 14d
media                       pod/lazylibrarian-9cfc48fdb-mh6fw                                     0/1     ContainerStatusUnknown        0                 8d
media                       pod/lazylibrarian-9cfc48fdb-nthkg                                     0/1     ContainerStatusUnknown        1 (8d ago)        9d
media                       pod/lazylibrarian-9cfc48fdb-q4fgb                                     0/1     ContainerStatusUnknown        0                 9d
media                       pod/lazylibrarian-9cfc48fdb-r9st7                                     0/1     ContainerStatusUnknown        1                 8d
media                       pod/lazylibrarian-9cfc48fdb-vb779                                     0/1     ContainerStatusUnknown        0                 9d
media                       pod/lidarr-67b6dbbbb8-29tm2                                           0/1     Error                         0                 9d
media                       pod/lidarr-67b6dbbbb8-45cxv                                           0/1     ContainerStatusUnknown        1                 12d
